109.000000	0.000000	109.000000	0.000000	
108.999779	0.218007	108.999344	0.436014	
108.999130	0.436057	108.997383	0.872112	
108.998039	0.654192	108.994110	1.308377	
108.996506	0.872456	108.989525	1.744894	
108.994537	1.090891	108.983620	2.181746	
108.992134	1.309540	108.976402	2.619018	
108.989281	1.528447	108.967850	3.056794	
108.985985	1.747655	108.957962	3.495161	
108.982246	1.967208	108.946739	3.934202	
108.978058	2.187149	108.934166	4.374004	
108.973412	2.407523	108.920235	4.814655	
108.968307	2.628375	108.904922	5.256240	
108.962738	2.849749	108.888222	5.698848	
108.956711	3.071691	108.870140	6.142568	
108.950211	3.294246	108.850632	6.587489	
108.943230	3.517462	108.829697	7.033701	
108.935768	3.741384	108.807320	7.481297	
108.927818	3.966060	108.783478	7.930369	
108.919380	4.191539	108.758156	8.381010	
108.910431	4.417868	108.731323	8.833316	
108.900978	4.645098	108.702965	9.287382	
108.891006	4.873278	108.673058	9.743307	
108.880508	5.102460	108.641563	10.201189	
108.869476	5.332695	108.608475	10.661130	
108.857895	5.564034	108.573746	11.123231	
108.845764	5.796534	108.537361	11.587598	
108.833069	6.030247	108.499283	12.054334	
108.819794	6.265229	108.459473	12.523549	
108.805931	6.501537	108.417900	12.995353	
108.791466	6.739229	108.374527	13.469858	
108.776390	6.978364	108.329315	13.947177	
108.760681	7.219001	108.282219	14.427429	
108.744339	7.461203	108.233208	14.910731	
108.727333	7.705033	108.182220	15.397206	
108.709656	7.950554	108.129219	15.886978	
108.691284	8.197834	108.074150	16.380177	
108.672211	8.446939	108.016960	16.876928	
108.652405	8.697940	107.957588	17.377371	
108.631859	8.950906	107.895996	17.881638	
108.610550	9.205913	107.832108	18.389874	
108.588448	9.463033	107.765862	18.902218	
108.565536	9.722343	107.697189	19.418821	
108.541794	9.983925	107.626030	19.939835	
108.517197	10.247858	107.552299	20.465414	
108.491707	10.514227	107.475914	20.995722	
108.465317	10.783117	107.396820	21.530918	
108.437981	11.054618	107.314903	22.071177	
108.409676	11.328820	107.230095	22.616671	
108.380371	11.605820	107.142288	23.167582	
108.350037	11.885714	107.051399	23.724092	
108.318626	12.168600	106.957306	24.286394	
108.286118	12.454587	106.859917	24.854687	
108.252464	12.743778	106.759102	25.429171	
108.217628	13.036285	106.654762	26.010056	
108.181572	13.332225	106.546761	26.597561	
108.144241	13.631713	106.434959	27.191908	
108.105591	13.934874	106.319229	27.793331	
108.065582	14.241836	106.199425	28.402067	
108.024155	14.552729	106.075386	29.018366	
107.981255	14.867690	105.946945	29.642481	
107.936829	15.186861	105.813950	30.274677	
107.890816	15.510389	105.676216	30.915234	
107.843147	15.838428	105.533539	31.564434	
107.793755	16.171137	105.385727	32.222572	
107.742577	16.508680	105.232582	32.889957	
107.689537	16.851229	105.073875	33.566906	
107.634544	17.198963	104.909355	34.253746	
107.577530	17.552065	104.738792	34.950825	
107.518394	17.910732	104.561920	35.658497	
107.457054	18.275164	104.378464	36.377129	
107.393402	18.645573	104.188118	37.107113	
107.327332	19.022177	103.990585	37.848850	
107.258743	19.405207	103.785530	38.602753	
107.187508	19.794897	103.572601	39.369255	
107.113503	20.191504	103.351433	40.148815	
107.036606	20.595285	103.121643	40.941906	
106.956657	21.006514	102.882790	41.749012	
106.873520	21.425476	102.634438	42.570648	
106.787025	21.852470	102.376122	43.407352	
106.697014	22.287815	102.107338	44.259689	
106.603302	22.731833	101.827545	45.128231	
106.505692	23.184874	101.536179	46.013596	
106.403969	23.647297	101.232620	46.916416	
106.297935	24.119484	100.916237	47.837368	
106.187332	24.601833	100.586319	48.777138	
106.071922	25.094767	100.242126	49.736458	
105.951431	25.598726	99.882874	50.716099	
105.825562	26.114178	99.507683	51.716854	
105.694016	26.641609	99.115669	52.739563	
105.556450	27.181541	98.705841	53.785107	
105.412506	27.734516	98.277138	54.854401	
105.261803	28.301109	97.828438	55.948410	
105.103920	28.881935	97.358513	57.068153	
104.938408	29.477631	96.866051	58.214687	
104.764778	30.088879	96.349625	59.389130	
104.582520	30.716396	95.807724	60.592640	
104.391045	31.360949	95.238655	61.826454	
104.189758	32.023346	94.640663	63.091862	
103.977974	32.704441	94.011772	64.390205	
103.754982	33.405144	93.349899	65.722908	
103.519981	34.126431	92.652718	67.091461	
103.272118	34.869320	91.917755	68.497414	
103.010452	35.634914	91.142288	69.942421	
102.733955	36.424370	90.323334	71.428185	
102.441505	37.238937	89.457664	72.956505	
102.131866	38.079933	88.541710	74.529259	
101.803696	38.948772	87.571594	76.148422	
101.455505	39.846962	86.543037	77.816025	
101.085648	40.776115	85.451340	79.534210	
100.692322	41.737957	84.291313	81.305199	
100.273514	42.734322	83.057236	83.131279	
99.827011	43.767193	81.742798	85.014824	
99.350357	44.838673	80.341003	86.958260	
98.840790	45.951035	78.844048	88.964081	
98.295265	47.106693	77.243309	91.034790	
97.710350	48.308254	75.529144	93.172913	
97.082207	49.558502	73.690781	95.380936	
96.406525	50.860416	71.716171	97.661278	
95.678444	52.217190	69.591789	100.016212	
94.892471	53.632252	67.302414	102.447823	
94.042389	55.109241	64.830910	104.957817	
93.121132	56.652054	62.157906	107.547485	
92.120621	58.264843	59.261395	110.217476	
91.031647	59.951977	56.116459	112.967529	
89.843620	61.718098	52.694637	115.796227	
88.544365	63.568039	48.963482	118.700531	
87.119781	65.506813	44.885792	121.675262	
85.553535	67.539566	40.418869	124.712425	
83.826561	69.671425	35.513527	127.800217	
81.916595	71.907379	30.113047	130.921768	
79.797447	74.252052	24.151760	134.053558	
77.438232	76.709328	17.553596	137.162994	
